dataset,model,accuracy,precision,recall,f1,best_threshold
paysim,Logistic Regression,0.8899,0.2071,0.8784,0.3351,0.225
paysim,Random Forest,0.931,0.9984,0.9968,0.9976,0.005
paysim,XGBoost,0.9873,0.9937,0.9968,0.9953,1.0
paysim,Isolation Forest,0.8584,0.0127,1.0,0.025,0.54
banksim,Logistic Regression,0.879,0.1147,0.9933,0.2057,0.815
banksim,Random Forest,0.893,0.1143,1.0,0.2052,0.805
banksim,XGBoost,0.894,0.1143,0.9733,0.2046,0.825
banksim,Isolation Forest,0.97,0.0302,0.9667,0.0586,0.525
cicids,Logistic Regression,0.8946,0.9941,0.9984,0.9962,0.55
cicids,Random Forest,0.9518,0.9997,0.9996,0.9996,0.005
cicids,XGBoost,0.9848,0.9999,0.9995,0.9997,0.005
cicids,Isolation Forest,0.7432,0.6415,0.9901,0.7786,0.49
ieee,Logistic Regression,0.906,0.9719,0.968,0.9699,0.01
ieee,Random Forest,0.8664,0.9718,0.964,0.9679,0.025
ieee,XGBoost,0.95,0.9796,0.96,0.9697,1.0
ieee,Isolation Forest,0.9166,0.05,1.0,0.0952,0.52
